pH,Temperature,Contact time,Initial concentration,Adsorbent dosage,Adsorption capacity
7,25,1440,30.0,0.15,97.91540844
7,25,1440,30.0,0.15,65.45124426
7,25,1440,30.0,0.15,74.03291653
7,25,1440,30.0,0.15,74.51919699
7,25,1440,30.0,0.15,78.51672079
7,25,1440,30.0,0.15,74.02945504
7,25,1440,30.0,0.15,84.26549728
7,25,1440,30.0,0.15,74.12788052
7,25,1440,30.0,0.15,69.52393546
7,25,1440,30.0,0.15,78.45258607
7,25,1440,30.0,0.15,77.07906319
7,25,1440,30.0,0.15,84.60006871
7,25,1440,30.0,0.15,75.32259884
7,25,1440,30.0,0.15,68.52578289
7,25,1440,30.0,0.15,72.42641101
7,25,1440,30.0,0.15,76.81159533
7,25,1440,30.0,0.15,74.36009827
7,25,1440,30.0,0.15,84.17656172
7,25,1440,30.0,0.15,81.10042847
7,25,1440,30.0,0.15,171.0818153
7,25,1440,30.0,0.15,183.1226947
7,25,1440,30.0,0.15,179.105641
7,25,1440,30.0,0.15,186.0584129
7,25,1440,30.0,0.15,183.0986829
7,25,1440,30.0,0.15,183.2949256
7,25,1440,30.0,0.15,167.1365714
7,25,1440,30.0,0.15,173.8138417
7,25,1440,30.0,0.15,175.015169
7,25,1440,30.0,0.15,188.2817431
7,25,1440,30.0,0.15,180.8482088
7,25,1440,30.0,0.15,163.4125302
7,25,1440,30.0,0.15,172.0266924
7,25,1440,30.0,0.15,177.1620054
7,25,1440,30.0,0.15,181.8659906
7,25,1440,30.0,0.15,174.4300862
7,25,1440,30.0,0.15,181.2017167
7,25,1440,30.0,0.15,182.9370612
7,25,1440,30.0,0.15,73.9094479
7,25,1440,30.0,0.15,76.95847226
7,25,1440,30.0,0.15,78.75721877
7,25,1440,30.0,0.15,85.17762947
7,25,1440,30.0,0.15,80.57171083
7,25,1440,30.0,0.15,79.58071398
7,25,1440,30.0,0.15,71.49075462
7,25,1440,30.0,0.15,74.85381983
7,25,1440,30.0,0.15,78.75721877
7,25,1440,30.0,0.15,86.9904383
7,25,1440,30.0,0.15,75.48732358
7,25,1440,30.0,0.15,74.91688182
7,25,1440,30.0,0.15,75.32348477
7,25,1440,30.0,0.15,78.53700907
7,25,1440,30.0,0.15,88.3660156
7,25,1440,30.0,0.15,76.26832785
7,25,1440,30.0,0.15,82.46581214
7,25,1440,30.0,0.15,87.5872493
7,25,1440,30.0,0.15,68.56639545
7,25,1440,30.0,0.15,69.07685387
7,25,1440,30.0,0.15,70.07074155
7,25,1440,30.0,0.15,75.69155256
7,25,1440,30.0,0.15,76.30216313
7,25,1440,30.0,0.15,71.70044321
7,25,1440,30.0,0.15,67.1694913
7,25,1440,30.0,0.15,69.72658596
7,25,1440,30.0,0.15,73.17741615
7,25,1440,30.0,0.15,78.75705497
7,25,1440,30.0,0.15,67.67584838
7,25,1440,30.0,0.15,69.49042799
7,25,1440,30.0,0.15,69.68607528
7,25,1440,30.0,0.15,73.66875703
7,25,1440,30.0,0.15,82.94139049
7,25,1440,30.0,0.15,71.61551895
7,25,1440,30.0,0.15,76.74217107
7,25,1440,30.0,0.15,82.311239
7,15,1440,30.0,0.15,180.7634297
7,25,1440,30.0,0.15,186.9041199
7,35,1440,30.0,0.15,187.2880648
7,15,1440,30.0,0.15,175.6996757
7,25,1440,30.0,0.15,182.8570345
7,35,1440,30.0,0.15,190.3648594
7,15,1440,30.0,0.15,181.6170003
7,25,1440,30.0,0.15,181.4764969
7,35,1440,30.0,0.15,187.8359454
7,15,1440,30.0,0.15,76.76053759
7,25,1440,30.0,0.15,84.7324625
7,35,1440,30.0,0.15,109.9616436
7,15,1440,30.0,0.15,74.97520177
7,25,1440,30.0,0.15,93.63013996
7,35,1440,30.0,0.15,123.7457944
7,15,1440,30.0,0.15,80.51766544
7,25,1440,30.0,0.15,85.72026179
7,35,1440,30.0,0.15,103.4994497
7,15,1440,30.0,0.15,61.92134518
7,25,1440,30.0,0.15,65.45124426
7,35,1440,30.0,0.15,85.17352158
7,15,1440,30.0,0.15,59.7152636
7,25,1440,30.0,0.15,74.12788052
7,35,1440,30.0,0.15,95.71531546
7,15,1440,30.0,0.15,64.75980268
7,25,1440,30.0,0.15,68.52578289
7,35,1440,30.0,0.15,81.30634152
7,15,1440,30.0,0.15,167.0779885
7,25,1440,30.0,0.15,173.451059
7,35,1440,30.0,0.15,171.8781326
7,15,1440,30.0,0.15,167.1173431
7,25,1440,30.0,0.15,178.3676148
7,35,1440,30.0,0.15,181.832546
7,15,1440,30.0,0.15,166.6781714
7,25,1440,30.0,0.15,185.2729541
7,35,1440,30.0,0.15,182.5054114
7,15,1440,30.0,0.15,71.09255716
7,25,1440,30.0,0.15,76.57545065
7,35,1440,30.0,0.15,78.16933865
7,15,1440,30.0,0.15,72.89459636
7,25,1440,30.0,0.15,82.87889926
7,35,1440,30.0,0.15,92.57221471
7,15,1440,30.0,0.15,76.12357913
7,25,1440,30.0,0.15,83.74712179
7,35,1440,30.0,0.15,87.78495046
7,15,1440,30.0,0.15,56.72166793
7,25,1440,30.0,0.15,59.49027235
7,35,1440,30.0,0.15,68.27619918
7,15,1440,30.0,0.15,57.641649
7,25,1440,30.0,0.15,60.5666738
7,35,1440,30.0,0.15,69.79127526
7,15,1440,30.0,0.15,69.67945751
7,25,1440,30.0,0.15,64.13715308
7,35,1440,30.0,0.15,72.95294034
