pH,Temperature,Contact time,Initial concentration,Adsorbent dosage,Adsorption capacity,Adsorbent
7,25,30,20.0,0.05,148.2962963,PAC
7,25,30,30.0,0.05,189.7777778,PAC
7,25,30,50.0,0.05,243.1111111,PAC
7,25,30,80.0,0.05,372.0,PAC
7,25,30,100.0,0.05,385.3333333,PAC
7,25,30,10.0,0.05,96.44444444,PAC
7,25,30,20.0,0.05,149.7777778,PAC
7,25,30,30.0,0.05,183.8518519,PAC
7,25,30,50.0,0.05,260.8888889,PAC
7,25,30,80.0,0.05,367.5555556,PAC
7,25,30,100.0,0.05,385.3333333,PAC
7,25,30,10.0,0.05,97.81746032,PAC
7,25,30,20.0,0.05,149.4047619,PAC
7,25,30,30.0,0.05,199.8015873,PAC
7,25,30,50.0,0.05,228.3730159,PAC
7,25,30,80.0,0.05,265.2777778,PAC
7,25,30,100.0,0.05,305.7539683,PAC
7,25,30,10.0,0.05,99.4047619,PAC
7,25,30,20.0,0.05,132.3412698,PAC
7,25,30,30.0,0.05,163.9550265,PAC
7,25,30,50.0,0.05,212.1031746,PAC
7,25,30,80.0,0.05,259.3253968,PAC
7,25,30,100.0,0.05,318.8492063,PAC
3,25,30,10.0,0.05,93.33333333,PAC
5,25,30,10.0,0.05,40.0,PAC
7,25,30,10.0,0.05,13.33333333,PAC
9,25,30,10.0,0.05,0.0,PAC
3,25,30,10.0,0.05,93.33333333,PAC
5,25,30,10.0,0.05,40.0,PAC
7,25,30,10.0,0.05,13.33333333,PAC
9,25,30,10.0,0.05,0.0,PAC
3,25,30,10.0,0.05,93.33333333,PAC
5,25,30,10.0,0.05,40.0,PAC
7,25,30,10.0,0.05,13.33333333,PAC
9,25,30,10.0,0.05,0.0,PAC
3,25,30,10.0,0.05,43.11111111,PAC
5,25,30,10.0,0.05,65.33333333,PAC
7,25,30,10.0,0.05,87.55555556,PAC
9,25,30,10.0,0.05,87.55555556,PAC
3,25,30,10.0,0.05,43.11111111,PAC
5,25,30,10.0,0.05,65.33333333,PAC
7,25,30,10.0,0.05,87.55555556,PAC
9,25,30,10.0,0.05,87.55555556,PAC
3,25,30,10.0,0.05,43.11111111,PAC
5,25,30,10.0,0.05,65.33333333,PAC
7,25,30,10.0,0.05,87.55555556,PAC
9,25,30,10.0,0.05,87.55555556,PAC
3,25,30,10.0,0.05,90.27777778,PAC
5,25,30,10.0,0.05,104.9603175,PAC
7,25,30,10.0,0.05,92.65873016,PAC
9,25,30,10.0,0.05,100.1984127,PAC
3,25,30,10.0,0.05,90.27777778,PAC
5,25,30,10.0,0.05,104.9603175,PAC
7,25,30,10.0,0.05,92.65873016,PAC
9,25,30,10.0,0.05,100.1984127,PAC
3,25,30,10.0,0.05,90.27777778,PAC
5,25,30,10.0,0.05,104.9603175,PAC
7,25,30,10.0,0.05,92.65873016,PAC
9,25,30,10.0,0.05,100.1984127,PAC
7,15,30,10.0,0.05,53.33333333,PAC
7,25,30,10.0,0.05,53.33333333,PAC
7,35,30,10.0,0.05,53.33333333,PAC
7,45,30,10.0,0.05,53.33333333,PAC
7,15,30,10.0,0.05,53.33333333,PAC
7,25,30,10.0,0.05,53.33333333,PAC
7,35,30,10.0,0.05,53.33333333,PAC
7,45,30,10.0,0.05,53.33333333,PAC
7,15,30,10.0,0.05,53.33333333,PAC
7,25,30,10.0,0.05,53.33333333,PAC
7,35,30,10.0,0.05,53.33333333,PAC
7,45,30,10.0,0.05,53.33333333,PAC
7,15,30,10.0,0.05,56.44444444,PAC
7,25,30,10.0,0.05,74.22222222,PAC
7,35,30,10.0,0.05,78.66666667,PAC
7,45,30,10.0,0.05,87.55555556,PAC
7,15,30,10.0,0.05,56.44444444,PAC
7,25,30,10.0,0.05,74.22222222,PAC
7,35,30,10.0,0.05,78.66666667,PAC
7,45,30,10.0,0.05,87.55555556,PAC
7,15,30,10.0,0.05,56.44444444,PAC
7,25,30,10.0,0.05,74.22222222,PAC
7,35,30,10.0,0.05,78.66666667,PAC
7,45,30,10.0,0.05,87.55555556,PAC
7,15,30,10.0,0.05,85.51587302,PAC
